"","assetTypeNumber","assetNumber","reportingPeriodBeginningDate","reportingPeriodEndingDate","originatorName","originationDate","originalLoanAmount","originalLoanTerm","loanMaturityDate","originalInterestRatePercentage","interestCalculationTypeCode","originalInterestRateTypeCode","originalFirstPaymentDate","underwritingIndicator","gracePeriodNumber","paymentTypeCode","subvented","vehicleManufacturerName","vehicleModelName","vehicleNewUsedCode","vehicleModelYear","vehicleTypeCode","vehicleValueAmount","vehicleValueSourceCode","obligorCreditScoreType","obligorCreditScore","obligorIncomeVerificationLevelCode","obligorEmployementVerificationCode","coObligorIndicator","paymentToIncomePercentage","obligorGeographicLocation","remainingTermtoMaturityNumber","reportingPeriodModicationIndicator","servicingAdvanceMethodCode","reportingPeriodBeginningLoanBalanceAmount","nextReportingPeriodPaymentAmountDue","reportingPeriodInterestRatePercentage","nextInterestRatePercentage","servicingFeePercentage","otherAssessedUncollectedServierFeeAmount","scheduleInterestAmount","scheduledPrincipalAmount","otherPrincipalAdjustedAmount","reportingPeriodActualEndBalanceAmount","reportingPeriodScheduledPaymentAmount","totalActualAmountPaid","actualInterestCollectAmount","repossessedIndicator","actualPrincipalCollectedAmount","actualOtherCollectedAmount","interestPaidThroughDate","currentDelinquencyStatus","primaryLoanServicerName","assetSubjectDemandIndicator","chargedoffPrincipalAmount","recoveredAmount","paymentExtendedNumber","repossessedProceedsAmount","BAL1","PRC1","PMT1","REC1","REP1","BAL2","PRC2","PMT2","REC2","REP2","BAL3","PRC3","PMT3","REC3","REP3","BAL4","PRC4","PMT4","REC4","REP4","BAL5","PRC5","PMT5","REC5","REP5","BAL6","PRC6","PMT6","REC6","REP6","BAL7","PRC7","PMT7","REC7","REP7","BAL8","PRC8","PMT8","REC8","REP8","BAL9","PRC9","PMT9","REC9","REP9","BAL10","PRC10","PMT10","REC10","REP10","BAL11","PRC11","PMT11","REC11","REP11","BAL12","PRC12","PMT12","REC12","REP12","BAL13","PRC13","PMT13","REC13","REP13","BAL14","PRC14","PMT14","REC14","REP14","BAL15","PRC15","PMT15","REC15","REP15","BAL16","PRC16","PMT16","REC16","REP16","BAL17","PRC17","PMT17","REC17","REP17","BAL18","PRC18","PMT18","REC18","REP18","BAL19","PRC19","PMT19","REC19","REP19","BAL20","PRC20","PMT20","REC20","REP20","BAL21","PRC21","PMT21","REC21","REP21","BAL22","PRC22","PMT22","REC22","REP22","BAL23","PRC23","PMT23","REC23","REP23","BAL24","PRC24","PMT24","REC24","REP24","BAL25","PRC25","PMT25","REC25","REP25","BAL26","PRC26","PMT26","REC26","REP26","BAL27","PRC27","PMT27","REC27","REP27","BAL28","PRC28","PMT28","REC28","REP28","BAL29","PRC29","PMT29","REC29","REP29","BAL30","PRC30","PMT30","REC30","REP30","BAL31","PRC31","PMT31","REC31","REP31","BAL32","PRC32","PMT32","REC32","REP32","BAL33","PRC33","PMT33","REC33","REP33","BAL34","PRC34","PMT34","REC34","REP34","BAL35","PRC35","PMT35","REC35","REP35","BAL36","PRC36","PMT36","REC36","REP36","BAL37","PRC37","PMT37","REC37","REP37","BAL38","PRC38","PMT38","REC38","REP38","BAL39","PRC39","PMT39","REC39","REP39","BAL40","PRC40","PMT40","REC40","REP40","BAL41","PRC41","PMT41","REC41","REP41","BAL42","PRC42","PMT42","REC42","REP42","BAL43","PRC43","PMT43","REC43","REP43","initialLoanAge","risk_cat_ir","Y","X","Xc","C","D","R"
"5369","Sponsor Assigned",19407822,"05-01-2017","05-31-2017","Ally Bank","01/2016",29535.24,74,"02/2022",0.028,1,1,"03/2016","True",2,2,0,"SUBA","LEGACY              ",1,2016,1,31811,1,"Consumer Bureau","799",2,NA,"False",0.0536,"MI",57,NA,1,23791.42,0,0.028,0.028,0.01,NA,NA,390.91,NA,23405.04,446.6,446.6,NA,"False",386.38,0,"05-31-2017",0,"Ally Bank","False",NA,NA,NA,0,23405.04,0,0,NA,0,22620.58,784.46,893.2,NA,0,22227.77,392.81,446.6,NA,0,21830.61,397.16,446.6,NA,0,21437.59,393.02,446.6,NA,0,21437.59,0,0,NA,0,21041.96,395.63,446.6,NA,0,20246.27,795.69,893.2,NA,0,19843.15,403.12,446.6,NA,0,19442.21,400.94,446.6,NA,0,19041.84,400.37,446.6,NA,0,19041.84,0,0,NA,0,18235.58,806.26,893.2,NA,0,17833.74,401.84,446.6,NA,0,17833.74,0,0,NA,0,17437.75,395.99,446.6,NA,0,17021.91,415.84,446.6,NA,0,16208.92,812.99,893.2,NA,0,15800.86,408.06,446.6,NA,0,15800.86,0,0,NA,0,14978.32,822.54,893.2,NA,0,14565.04,413.28,446.6,NA,0,14154.19,410.85,446.6,NA,0,13741.24,412.95,446.6,NA,0,13324.15,417.09,446.6,NA,0,12911.27,412.88,446.6,NA,0,12494.38,416.89,446.6,NA,0,12077.49,416.89,446.6,NA,0,11659.61,417.88,446.6,NA,0,11659.61,0,0,NA,0,11241.63,417.98,446.6,NA,0,10399.2,842.43,893.2,NA,0,9974.88,424.32,446.6,NA,0,9552.7,422.18,446.6,NA,0,9124.37,428.33,446.6,NA,0,8691.73,432.64,446.6,NA,0,8271.73,420,446.6,NA,0,7843.48,428.25,446.6,NA,0,7419.68,423.8,446.6,NA,0,6990.68,429,446.6,NA,0,6560.66,430.02,446.6,NA,0,6129.12,431.54,446.6,NA,0,5697.06,432.06,446.6,NA,0,17,"super_prime",17,43,60,1,0,0
"5370","Sponsor Assigned",19407929,"05-01-2017","05-31-2017","Ally Bank","01/2016",26697.05,74,"02/2022",0.073,1,1,"03/2016","True",2,2,0,"HOND","CIVIC               ",1,2015,1,18933,1,"Consumer Bureau","663",2,NA,"False",0.0759,"CA",57,NA,1,22195.52,455.32,0.073,0.073,0.01,NA,NA,322.2,NA,21873.37,455.32,455.32,NA,"False",322.15,0,"05-08-2017",0,"Ally Bank","False",NA,NA,NA,0,0,21873.37,22017.73,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,"prime",17,2,19,0,0,1
"5379","Sponsor Assigned",19408432,"05-01-2017","05-31-2017","Ally Bank","01/2016",17875,76,"04/2022",0.0794,1,1,"02/2016","True",1,2,0,"KIA ","OPTIMA              ",1,2015,1,23429,1,"Consumer Bureau","661",2,NA,"False",0.0425,"NJ",59,NA,1,15162.4,303.11,0.0794,0.0794,0.01,NA,NA,205.42,NA,14756.05,303.11,606.22,NA,"False",406.35,0,"05-29-2017",0,"Ally Bank","False",NA,NA,NA,0,14552.44,203.61,303.11,NA,0,14344.29,208.15,303.11,NA,0,14137.9,206.39,303.11,NA,0,13930.12,207.78,303.11,NA,0,13717.91,212.21,303.11,NA,0,13507.3,210.61,303.11,NA,0,13292.33,214.97,303.11,NA,0,13078.85,213.48,303.11,NA,0,12861.09,217.76,303.11,NA,0,12639.11,221.98,303.11,NA,0,12421.23,217.88,303.11,NA,0,12199.17,222.06,303.11,NA,0,11978.32,220.85,303.11,NA,0,11753.37,224.95,303.11,NA,0,11529.51,223.86,303.11,NA,0,11529.51,0,0,NA,0,11074.79,454.72,606.22,NA,0,10846.36,228.43,303.11,NA,0,10614.03,232.33,303.11,NA,0,10382.49,231.54,303.11,NA,0,10147.13,235.36,303.11,NA,0,9908.03,239.1,303.11,NA,0,9671.73,236.3,303.11,NA,0,9431.73,240,303.11,NA,0,9431.73,0,0,NA,0,8949.09,482.64,606.22,NA,0,8706.32,242.77,303.11,NA,0,8461.92,244.4,303.11,NA,0,8214.03,247.89,303.11,NA,0,7966.31,247.72,303.11,NA,0,7715.18,251.13,303.11,NA,0,7463.97,251.21,303.11,NA,0,7211.06,252.91,303.11,NA,0,6953.32,257.74,303.11,NA,0,6696.97,256.35,303.11,NA,0,6437.45,259.52,303.11,NA,0,6177.63,259.82,303.11,NA,0,5914.73,262.9,303.11,NA,0,5651.4,263.33,303.11,NA,0,5386.3,265.1,303.11,NA,0,5118.25,268.05,303.11,NA,0,4849.56,268.69,303.11,NA,0,4578.01,271.55,303.11,NA,0,17,"prime",15,43,58,1,0,0
"5389","Sponsor Assigned",19408566,"05-01-2017","05-31-2017","Ally Bank","01/2016",18986.5,73,"01/2022",0.0524,1,1,"02/2016","True",1,2,0,"CHEV","CAMARO              ",1,2016,1,29183,1,"Consumer Bureau","802",2,NA,"False",0.0411,"CA",56,NA,1,15735.79,307.89,0.0524,0.0524,0.01,NA,NA,241.11,NA,15256.86,307.89,615.78,NA,"False",478.93,0,"05-31-2017",0,"Ally Bank","False",NA,NA,NA,0,15256.86,0,0,NA,0,15023.43,233.43,307.89,NA,0,14536.04,487.39,615.78,NA,0,14536.04,0,0,NA,0,14290.75,245.29,307.89,NA,0,14048.51,242.24,307.89,NA,0,13811.2,237.31,307.89,NA,0,13562.79,248.41,307.89,NA,0,13309.41,253.38,307.89,NA,0,13064.57,244.84,307.89,NA,0,12538.03,526.54,615.78,NA,0,12538.03,0,0,NA,0,10.59,12527.44,12620.35,NA,0,0,10.59,10.61,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,"prime",18,15,33,0,0,1
"5462","Sponsor Assigned",19460935,"05-01-2017","05-31-2017","Ally Bank","02/2016",32368.36,73,"02/2022",0.0539,1,1,"03/2016","True",1,2,0,"RAM ","PROMASTER 35        ",1,2014,2,39892,1,"Consumer Bureau","761",2,NA,"False",0.0292,"GA",57,NA,1,27265.92,528.42,0.0539,0.0539,0.01,NA,NA,409.16,NA,26458.71,528.42,1056.84,NA,"False",807.21,0,"05-18-2017",0,"Ally Bank","False",NA,NA,NA,0,26063.13,395.58,554.84,NA,0,25634.77,428.36,528.42,NA,0,25235.05,399.72,528.42,NA,0,24803.51,431.54,528.42,NA,0,24421.59,381.92,528.42,NA,0,23979.72,441.87,528.42,NA,0,23979.72,0,0,NA,0,23166.1,813.62,1056.84,NA,0,22733.46,432.64,528.42,NA,0,22295.68,437.78,528.42,NA,0,21872.61,423.07,528.42,NA,0,21441.08,431.53,528.42,NA,0,21007.64,433.44,528.42,NA,0,20556.77,450.87,528.42,NA,0,20149.77,407,528.42,NA,0,19692.76,457.01,528.42,NA,0,19692.76,0,0,NA,0,18829.59,863.17,1056.84,NA,0,18392.92,436.67,528.42,NA,0,17943.26,449.66,528.42,NA,0,17502.27,440.99,528.42,NA,0,17025.54,476.73,528.42,NA,0,16585.11,440.43,528.42,NA,0,16125.26,459.85,528.42,NA,0,15663.51,461.75,528.42,NA,0,15206.79,456.72,528.42,NA,0,14754.71,452.08,528.42,NA,0,14289.47,465.24,528.42,NA,0,13832.79,456.68,528.42,NA,0,13363.6,469.19,528.42,NA,0,13363.6,0,0,NA,0,12421.12,942.48,1056.84,NA,0,11960.38,460.74,528.42,NA,0,11474.23,486.15,528.42,NA,0,11474.23,0,0,NA,0,10520.95,953.28,1056.84,NA,0,10043.66,477.29,528.42,NA,0,9562.57,481.09,528.42,NA,0,9083.44,479.13,528.42,NA,0,9083.44,0,0,NA,0,8102.09,981.35,1056.84,NA,0,8102.09,0,0,NA,0,7118.18,983.91,1083.26,NA,0,16,"prime",17,43,60,1,0,0
"5499","Sponsor Assigned",19463741,"05-01-2017","05-31-2017","Ally Bank","02/2016",20585.85,76,"05/2022",0.0655,1,1,"03/2016","True",1,2,0,"TOYT","COROLLA             ",1,2016,1,19277,1,"Consumer Bureau","688",2,NA,"False",0.084,"FL",60,NA,1,17647.44,331.49,0.0655,0.0655,0.01,NA,NA,242.5,NA,17112.44,336.13,676.9,NA,"False",535,0,"05-19-2017",0,"Ally Bank","False",NA,NA,NA,0,16912.48,199.96,332,NA,0,16912.48,0,0,NA,0,0,16912.48,17060.44,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,"prime",14,4,18,0,0,1
"5527","Sponsor Assigned",19465389,"05-01-2017","05-31-2017","Ally Bank","02/2016",43432.62,73,"02/2022",0.0299,1,1,"03/2016","True",1,2,0,"JEEP","WRANGLER UNL        ",1,2016,3,43930,1,"Consumer Bureau","751",2,NA,"False",0.0776,"TX",57,NA,1,35605.68,659.7,0.0299,0.0299,0.01,NA,NA,572.25,NA,35010.14,659.7,659.7,NA,"False",595.54,0,"05-15-2017",0,"Ally Bank","False",NA,NA,NA,0,34447.94,562.2,659.7,NA,0,33886.99,560.95,659.7,NA,0,33886.99,0,0,NA,0,32692.49,1194.5,1352.38,NA,0,32123.83,568.66,659.7,NA,0,31543.06,580.77,659.7,NA,0,30968.62,574.44,659.7,NA,0,30382.48,586.14,659.7,NA,0,29789.97,592.51,659.7,NA,0,29220.55,569.42,659.7,NA,0,28639.83,580.72,659.7,NA,0,28034.08,605.75,659.7,NA,0,27450.15,583.93,659.7,NA,0,26835.41,614.74,659.7,NA,0,26274.62,560.79,659.7,NA,0,25657.96,616.66,659.7,NA,0,25059.2,598.76,659.7,NA,0,24487.76,571.44,659.7,NA,0,23864.16,623.6,659.7,NA,0,23864.16,0,0,NA,0,22662.04,1202.12,1352.38,NA,0,22056.17,605.87,659.7,NA,0,21465.12,591.05,659.7,NA,0,20845.85,619.27,659.7,NA,0,20252.74,593.11,659.7,NA,0,19629.53,623.21,659.7,NA,0,19029.32,600.21,659.7,NA,0,18410.14,619.18,659.7,NA,0,17806.23,603.91,659.7,NA,0,17191.74,614.49,659.7,NA,0,16563.01,628.73,659.7,NA,0,15952.13,610.88,659.7,NA,0,15327.62,624.51,659.7,NA,0,14702.98,624.64,659.7,NA,0,14081.72,621.26,659.7,NA,0,13456.53,625.19,659.7,NA,0,12830.91,625.62,659.7,NA,0,12201.61,629.3,659.7,NA,0,11572.81,628.8,659.7,NA,0,10943.36,629.45,659.7,NA,0,10309.59,633.77,659.7,NA,0,9677.68,631.91,659.7,NA,0,9040.12,637.56,659.7,NA,0,16,"super_prime",17,43,60,1,0,0
"6122","Sponsor Assigned",19411778,"05-01-2017","05-31-2017","Ally Bank","01/2016",28767.81,74,"02/2022",0.04,1,1,"03/2016","True",2,2,0,"JEEP","WRANGLER            ",1,2016,3,32676,1,"Consumer Bureau","818",2,NA,"False",0.0301,"GA",57,NA,1,23689.23,401.54,0.04,0.04,0.01,NA,NA,372.79,NA,23269.7,450.82,500,NA,"False",419.53,0,"05-01-2017",0,"Ally Bank","False",NA,NA,NA,0,22848.74,420.96,500,NA,0,22428.86,419.88,500,NA,0,21784.1,644.76,800,NA,0,21358.1,426,500,NA,0,21358.1,0,0,NA,0,20937.67,420.43,500,NA,0,20504.2,433.47,500,NA,0,20076.09,428.11,500,NA,0,19642.08,434.01,500,NA,0,19202.34,439.74,500,NA,0,18271.77,930.57,1000,NA,0,17827.83,443.94,500,NA,0,17388.39,439.44,500,NA,0,16947.45,440.94,500,NA,0,16503.16,444.29,500,NA,0,16064.64,438.52,500,NA,0,15363.93,700.71,750,NA,0,14914.43,449.5,500,NA,0,14468.36,446.07,500,NA,0,14015.92,452.44,500,NA,0,13560.46,455.46,500,NA,0,13106.52,453.94,500,NA,0,12648.17,458.35,500,NA,0,12188.36,459.81,500,NA,0,11733.77,454.59,500,NA,0,11269.77,464,500,NA,0,10806.81,462.96,500,NA,0,10345.88,460.93,500,NA,0,9878.75,467.13,500,NA,0,9411.22,467.53,500,NA,0,8944.22,467,500,NA,0,8473.62,470.6,500,NA,0,8004.18,469.44,500,NA,0,0,8004.18,8030.42,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,"super_prime",17,35,52,0,0,1
"6161","Sponsor Assigned",19413957,"05-01-2017","05-31-2017","Ally Bank","01/2016",34014.32,74,"02/2022",0.034,1,1,"03/2016","True",2,2,0,"JEEP","WRANGLER UNL        ",1,2016,3,33233,1,"Consumer Bureau","688",2,NA,"False",0.0565,"PA",57,NA,1,27972.44,523.64,0.034,0.034,0.01,NA,NA,445.48,NA,27524.36,523.64,523.64,NA,"False",448.08,0,"05-15-2017",0,"Ally Bank","False",NA,NA,NA,0,27097.42,426.94,550,NA,0,27097.42,0,0,NA,0,25962.91,1134.51,1250,NA,0,25424.43,538.48,600,NA,0,25278.18,146.25,238.61,NA,0,24834.59,443.59,523.64,NA,0,24387.87,446.72,530,NA,0,23933.75,454.12,520,NA,0,23457.41,476.34,520.92,NA,0,22997.67,459.74,520.92,NA,0,22556.92,440.75,535,NA,0,0,22556.92,22651.26,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,"super_prime",17,13,30,0,0,1
"6207","Sponsor Assigned",19465686,"05-01-2017","05-31-2017","Ally Bank","02/2016",23409.36,77,"06/2022",0.0899,1,1,"04/2016","True",2,2,0,"KIA ","OPTIMA              ",1,2016,1,22252,1,"Consumer Bureau","695",2,NA,"False",0.1283,"MD",61,NA,1,20269.04,342.14,0.0899,0.0899,0.01,NA,NA,260.65,NA,20068.8,410.63,350,NA,"False",200.24,0,"05-22-2017",0,"Ally Bank","False",NA,NA,NA,0,20068.8,0,0,NA,0,19594.31,474.49,800,NA,0,19343.91,250.4,400,NA,0,19210.66,133.25,300,NA,0,19097.87,112.79,250,NA,0,18748.72,349.15,415,NA,0,18556.52,192.2,400,NA,0,18434.49,122.03,250,NA,0,18434.49,0,0,NA,0,18205.47,229.02,420,NA,0,17924.47,281,420,NA,0,17681.06,243.41,420,NA,0,17490.09,190.97,400,NA,0,17463.47,26.62,130,NA,0,17245.19,218.28,300,NA,0,16901.37,343.82,450,NA,0,16659.55,241.82,400,NA,0,16659.55,0,0,NA,0,4646.81,12012.74,12868.34,NA,0,2325.72,2321.09,2321.09,NA,0,2325.72,0,0,NA,0,2325.72,0,0,NA,0,2325.72,0,0,NA,0,2325.72,0,0,NA,0,0,0,164.24,NA,-300,NA,0,NA,NA,0,NA,0,NA,NA,0,NA,0,NA,NA,0,NA,0,NA,NA,0,NA,0,NA,NA,0,NA,0,NA,NA,0,NA,0,NA,NA,0,NA,0,NA,NA,0,NA,0,NA,NA,0,NA,0,NA,NA,0,NA,0,NA,NA,0,NA,0,NA,NA,0,NA,0,NA,NA,0,NA,0,NA,NA,0,NA,0,NA,NA,0,NA,0,NA,NA,0,NA,0,NA,NA,0,NA,0,NA,NA,0,16,"prime",13,22,35,0,1,0
