"","assetTypeNumber","assetNumber","reportingPeriodBeginningDate","reportingPeriodEndingDate","originatorName","originationDate","originalLoanAmount","originalLoanTerm","loanMaturityDate","originalInterestRatePercentage","interestCalculationTypeCode","originalInterestRateTypeCode","originalFirstPaymentDate","underwritingIndicator","gracePeriodNumber","paymentTypeCode","subvented","vehicleManufacturerName","vehicleModelName","vehicleNewUsedCode","vehicleModelYear","vehicleTypeCode","vehicleValueAmount","vehicleValueSourceCode","obligorCreditScoreType","obligorCreditScore","obligorIncomeVerificationLevelCode","obligorEmployementVerificationCode","coObligorIndicator","paymentToIncomePercentage","obligorGeographicLocation","remainingTermtoMaturityNumber","reportingPeriodModicationIndicator","servicingAdvanceMethodCode","reportingPeriodBeginningLoanBalanceAmount","nextReportingPeriodPaymentAmountDue","reportingPeriodInterestRatePercentage","nextInterestRatePercentage","servicingFeePercentage","otherAssessedUncollectedServierFeeAmount","scheduleInterestAmount","scheduledPrincipalAmount","otherPrincipalAdjustedAmount","reportingPeriodActualEndBalanceAmount","reportingPeriodScheduledPaymentAmount","totalActualAmountPaid","actualInterestCollectAmount","repossessedIndicator","actualPrincipalCollectedAmount","actualOtherCollectedAmount","interestPaidThroughDate","currentDelinquencyStatus","primaryLoanServicerName","assetSubjectDemandIndicator","chargedoffPrincipalAmount","recoveredAmount","paymentExtendedNumber","repossessedProceedsAmount","BAL1","PRC1","PMT1","REC1","REP1","BAL2","PRC2","PMT2","REC2","REP2","BAL3","PRC3","PMT3","REC3","REP3","BAL4","PRC4","PMT4","REC4","REP4","BAL5","PRC5","PMT5","REC5","REP5","BAL6","PRC6","PMT6","REC6","REP6","BAL7","PRC7","PMT7","REC7","REP7","BAL8","PRC8","PMT8","REC8","REP8","BAL9","PRC9","PMT9","REC9","REP9","BAL10","PRC10","PMT10","REC10","REP10","BAL11","PRC11","PMT11","REC11","REP11","BAL12","PRC12","PMT12","REC12","REP12","BAL13","PRC13","PMT13","REC13","REP13","BAL14","PRC14","PMT14","REC14","REP14","BAL15","PRC15","PMT15","REC15","REP15","BAL16","PRC16","PMT16","REC16","REP16","BAL17","PRC17","PMT17","REC17","REP17","BAL18","PRC18","PMT18","REC18","REP18","BAL19","PRC19","PMT19","REC19","REP19","BAL20","PRC20","PMT20","REC20","REP20","BAL21","PRC21","PMT21","REC21","REP21","BAL22","PRC22","PMT22","REC22","REP22","BAL23","PRC23","PMT23","REC23","REP23","BAL24","PRC24","PMT24","REC24","REP24","BAL25","PRC25","PMT25","REC25","REP25","BAL26","PRC26","PMT26","REC26","REP26","BAL27","PRC27","PMT27","REC27","REP27","BAL28","PRC28","PMT28","REC28","REP28","BAL29","PRC29","PMT29","REC29","REP29","BAL30","PRC30","PMT30","REC30","REP30","BAL31","PRC31","PMT31","REC31","REP31","BAL32","PRC32","PMT32","REC32","REP32","BAL33","PRC33","PMT33","REC33","REP33","BAL34","PRC34","PMT34","REC34","REP34","BAL35","PRC35","PMT35","REC35","REP35","BAL36","PRC36","PMT36","REC36","REP36","BAL37","PRC37","PMT37","REC37","REP37","BAL38","PRC38","PMT38","REC38","REP38","BAL39","PRC39","PMT39","REC39","REP39","BAL40","PRC40","PMT40","REC40","REP40","BAL41","PRC41","PMT41","REC41","REP41","BAL42","PRC42","PMT42","REC42","REP42","BAL43","PRC43","PMT43","REC43","REP43","initialLoanAge","risk_cat_ir","Y","X","Xc","C","D","R"
"5345","Sponsor Assigned",19406600,"05-01-2017","05-31-2017","Ally Bank","01/2016",13649.18,73,"03/2022",0.0704,1,1,"02/2016","True",1,2,0,"HOND","CIVIC               ",2,2012,1,10975,98,"Consumer Bureau","694",2,NA,"False",0.1165,"FL",56,NA,1,11448.24,232.96,0.0704,0.0704,0.01,NA,NA,167.81,NA,11281.52,232.96,232.96,NA,"False",166.72,0,"05-10-2017",0,"Ally Bank","False",NA,NA,NA,0,11111.66,169.86,232.96,NA,0,10947.27,164.39,232.96,NA,0,10777.65,169.62,232.96,NA,0,10607.05,170.6,232.96,NA,0,10441.6,165.45,232.96,NA,0,10265.02,176.58,232.96,NA,0,10091.45,173.57,232.96,NA,0,9922.71,168.74,232.96,NA,0,9745.24,177.47,232.96,NA,0,9564.9,180.34,232.96,NA,0,9392.81,172.09,232.96,NA,0,9212.38,180.43,232.96,NA,0,9032.72,179.66,232.96,NA,0,8855.5,177.22,232.96,NA,0,8672.07,183.43,232.96,NA,0,8494.3,177.77,232.96,NA,0,0,8494.3,8551.43,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,"prime",18,18,36,0,0,1
"5405","Sponsor Assigned",19409785,"05-01-2017","05-31-2017","Ally Bank","02/2016",19999.1,73,"02/2022",0.1025,1,1,"03/2016","True",1,2,0,"TOYT","CAMRY               ",2,2014,1,15575,98,"Consumer Bureau","693",2,NA,"False",0.0341,"MD",57,NA,1,16143.29,0,0.1025,0.1025,0.01,NA,NA,230.79,NA,15794.03,374.62,500,NA,"False",349.26,0,"05-16-2017",0,"Ally Bank","False",NA,NA,NA,0,15427.08,366.95,500,NA,0,15070.04,357.04,500,NA,0,14692.76,377.28,500,NA,0,14433.04,259.72,400,NA,0,14046.52,386.52,500,NA,0,13800.63,245.89,380,NA,0,13533.01,267.62,380,NA,0,13267.02,265.99,380,NA,0,13013.69,253.33,380,NA,0,12732.36,281.33,380,NA,0,12463.2,269.16,380,NA,0,12181.19,282.01,380,NA,0,11910.65,270.54,380,NA,0,11634.33,276.32,380,NA,0,11358.87,275.46,380,NA,0,11077.75,281.12,380,NA,0,10797.29,280.46,380,NA,0,10505.22,292.07,380,NA,0,10210.77,294.45,380,NA,0,9928.26,282.51,380,NA,0,9629.11,299.15,380,NA,0,9322.11,307,380,NA,0,9020.64,301.47,380,NA,0,8721.7,298.94,380,NA,0,8415.17,306.53,380,NA,0,8110.79,304.38,380,NA,0,7796.84,313.95,380,NA,0,7484.71,312.13,380,NA,0,7171.96,312.75,380,NA,0,6854.39,317.57,380,NA,0,6528.28,326.11,380,NA,0,6208.67,319.61,380,NA,0,5879.09,329.58,380,NA,0,5546.84,332.25,380,NA,0,5227.42,319.42,380,NA,0,5227.42,0,0,NA,0,4547.36,680.06,760,NA,0,4211.93,335.43,380,NA,0,3866.14,345.79,380,NA,0,3521.87,344.27,380,NA,0,3170.47,351.4,380,NA,0,3170.47,0,0,NA,0,2845.52,324.95,380,NA,0,16,"near_prime",17,43,60,1,0,0
"5440","Sponsor Assigned",19459307,"05-01-2017","05-31-2017","Ally Bank","02/2016",9098.58,73,"02/2022",0.0694,1,1,"03/2016","True",1,2,0,"DODG","JOURNEY             ",2,2010,3,8600,98,"Consumer Bureau","775",2,NA,"False",0.0645,"MI",57,NA,1,7600.87,153.18,0.0694,0.0694,0.01,NA,NA,111.45,NA,7493.56,154.86,155,NA,"False",107.31,0,"05-15-2017",0,"Ally Bank","False",NA,NA,NA,0,7379.87,113.69,155,NA,0,7266.96,112.91,155,NA,0,7157.55,109.41,155,NA,0,7043.37,114.18,155,NA,0,6931.22,112.15,155,NA,0,6814.43,116.79,155,NA,0,6695.7,118.73,155,NA,0,6577.61,118.09,155,NA,0,6466.38,111.23,155,NA,0,0,6466.38,6488.51,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,"prime",17,11,28,0,0,1
"5446","Sponsor Assigned",19459855,"05-01-2017","05-31-2017","Ally Bank","02/2016",11723.36,73,"02/2022",0.108,1,1,"03/2016","True",1,2,0,"CHEV","SONIC               ",2,2015,1,11325,98,"Consumer Bureau","673",2,NA,"False",0.0769,"NJ",57,NA,1,9665.35,222.92,0.108,0.108,0.01,NA,NA,130.89,NA,8585.05,222.92,1245.84,NA,"False",1080.3,0,"05-31-2017",0,"Ally Bank","False",NA,NA,NA,0,8438.33,146.72,222.92,NA,0,8438.33,0,0,NA,0,8295.3,143.03,222.92,NA,0,8146.01,149.29,222.92,NA,0,7843.44,302.57,445.84,NA,0,7690.14,153.3,222.92,NA,0,7690.14,0,0,NA,0,7383.97,306.17,445.84,NA,0,7383.97,0,0,NA,0,7224.41,159.56,222.92,NA,0,7065.61,158.8,222.92,NA,0,6747.92,317.69,445.84,NA,0,6747.92,0,0,NA,0,6584.89,163.03,222.92,NA,0,0,6584.89,6649.18,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,"near_prime",17,16,33,0,0,1
"5453","Sponsor Assigned",19460260,"05-01-2017","05-31-2017","Ally Bank","02/2016",8753.48,73,"02/2022",0.0869,1,1,"03/2016","True",1,2,0,"FORD","FIESTA              ",2,2013,1,8050,98,"Consumer Bureau","667",2,NA,"False",0.0523,"TN",57,NA,1,7515.89,157,0.0869,0.0869,0.01,NA,NA,104.07,NA,7306.78,157,314,NA,"False",209.11,0,"05-29-2017",0,"Ally Bank","False",NA,NA,NA,0,7207.18,99.6,157,NA,0,7098.22,108.96,157,NA,0,7098.22,0,0,NA,0,6889.99,208.23,314,NA,0,6785.48,104.51,157,NA,0,6676.94,108.54,157,NA,0,6676.94,0,0,NA,0,6459.16,217.78,314,NA,0,6459.16,0,0,NA,0,6232.23,226.93,314,NA,0,6124.19,108.04,157,NA,0,6124.19,0,0,NA,0,6018.22,105.97,157,NA,0,5901.33,116.89,157,NA,0,5790.69,110.64,157,NA,0,5672.29,118.4,157,NA,0,5435.72,236.57,314,NA,0,5320.13,115.59,157,NA,0,5198.59,121.54,157,NA,0,5080.67,117.92,160,NA,0,4954.53,126.14,160,NA,0,4828.73,125.8,160,NA,0,4828.73,0,0,NA,0,4707.81,120.92,160,NA,0,4450.88,256.93,320,NA,0,4450.88,0,0,NA,0,4220.73,230.15,296,NA,0,4091.88,128.85,160,NA,0,3962.08,129.8,160,NA,0,3828.49,133.59,160,NA,0,3695.83,132.66,160,NA,0,3565.67,130.16,160,NA,0,3429.37,136.3,160,NA,0,3429.37,0,0,NA,0,3429.37,0,0,NA,0,3343.47,85.9,160,NA,0,3208.87,134.6,160,NA,0,3208.87,0,0,NA,0,2933.72,275.15,320,NA,0,2933.72,0,0,NA,0,2655.97,277.75,320,NA,0,2655.97,0,0,NA,0,2377.09,278.88,317,NA,0,16,"prime",17,43,60,1,0,0
"5464","Sponsor Assigned",19461358,"05-01-2017","05-31-2017","Ally Bank","02/2016",22206.59,73,"02/2022",0.056,1,1,"03/2016","True",1,2,0,"GMC ","ACADIA              ",2,2012,3,22800,98,"Consumer Bureau","678",2,NA,"False",0.0277,"TX",57,NA,1,18458.99,363.8,0.056,0.056,0.01,NA,NA,279.59,NA,18176.11,364.7,365,NA,"False",282.88,0,"05-19-2017",0,"Ally Bank","False",NA,NA,NA,0,17900.34,275.77,365,NA,0,17623.22,277.12,365,NA,0,17365.46,257.76,363.2,NA,0,17365.46,0,0,NA,0,16771.01,594.45,729.7,NA,0,16481.22,289.79,364.4,NA,0,16197.13,284.09,365,NA,0,15906.67,290.46,365,NA,0,15612.44,294.23,365,NA,0,15321.69,290.75,365,NA,0,15029.56,292.13,365,NA,0,14731.42,298.14,365,NA,0,14438.74,292.68,365,NA,0,14140.19,298.55,365,NA,0,13838.1,302.09,365,NA,0,13543.16,294.94,365,NA,0,13242.57,300.59,365,NA,0,12938.52,304.05,365,NA,0,12633.07,305.45,365,NA,0,12324.27,308.8,365,NA,0,12021.66,302.61,365,NA,0,11708.3,313.36,365,NA,0,11395.39,312.91,365,NA,0,11087.83,307.56,360,NA,0,10767.05,320.78,365,NA,0,10449.3,317.75,364,NA,0,10132.39,316.91,365,NA,0,0,10132.39,10179.02,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,"prime",17,29,46,0,0,1
"5474","Sponsor Assigned",19462013,"05-01-2017","05-31-2017","Ally Bank","02/2016",10710.64,73,"02/2022",0.1289,1,1,"03/2016","True",1,2,0,"CHEV","IMPALA              ",2,2011,1,8194,3,"Consumer Bureau","663",2,NA,"False",0.0709,"ID",57,NA,1,8912.09,0,0.1289,0.1289,0.01,NA,NA,117.47,NA,8014.72,215.61,1083.22,NA,"False",897.37,0,"05-29-2017",0,"Ally Bank","False",NA,NA,NA,0,7886.85,127.87,215.61,NA,0,7754.79,132.06,215.61,NA,0,7624.07,130.72,215.61,NA,0,7491.92,132.15,215.61,NA,0,7355.68,136.24,215.61,NA,0,7220.59,135.09,215.61,NA,0,7220.59,0,0,NA,0,7220.59,0,0,NA,0,7220.59,0,0,NA,0,7220.59,0,220,NA,0,0,7220.59,7357.57,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,"near_prime",17,12,29,0,0,1
"5477","Sponsor Assigned",19461839,"05-01-2017","05-31-2017","Ally Bank","02/2016",17117.79,73,"02/2022",0.102,1,1,"03/2016","True",1,2,0,"CHEV","CAPTIVA SPOR        ",2,2014,3,14575,98,"Consumer Bureau","679",2,NA,"False",0.0661,"LA",57,NA,1,14552.88,319.56,0.102,0.102,0.01,NA,NA,197.37,NA,14339.05,319.56,319.56,NA,"False",213.83,0,"05-17-2017",0,"Ally Bank","False",NA,NA,NA,0,14139.7,199.35,319.56,NA,0,13978.19,161.51,319.56,NA,0,13775.81,202.38,319.56,NA,0,13564.04,211.77,319.56,NA,0,13350.61,213.43,319.56,NA,0,13135.51,215.1,319.56,NA,0,12918.73,216.78,319.56,NA,0,12750.79,167.94,319.56,NA,0,12530.99,219.8,319.56,NA,0,12309.47,221.52,319.56,NA,0,12086.22,223.25,319.56,NA,0,11861.22,225,319.56,NA,0,11634.46,226.76,319.56,NA,0,11451.45,183.01,319.56,NA,0,11208.69,242.76,319.56,NA,0,10986.23,222.46,319.56,NA,0,10755.7,230.53,319.56,NA,0,10532.32,223.38,319.56,NA,0,10304,228.32,319.56,NA,0,10079.46,224.54,319.56,NA,0,9855.66,223.8,319.56,NA,0,9591.18,264.48,319.56,NA,0,9357.38,233.8,319.56,NA,0,9118.88,238.5,319.56,NA,0,8873.21,245.67,319.56,NA,0,8630.51,242.7,319.56,NA,0,8385.71,244.8,319.56,NA,0,8131.32,254.39,320,NA,0,7884.03,247.29,320,NA,0,7632.32,251.71,320,NA,0,7374.17,258.15,320,NA,0,7115.91,258.26,320,NA,0,6861.35,254.56,320,NA,0,6596.8,264.55,320,NA,0,6337.47,259.33,320,NA,0,6061.62,275.85,320,NA,0,5800.75,260.87,320,NA,0,5526.01,274.74,320,NA,0,5253.75,272.26,320,NA,0,4979.14,274.61,320,NA,0,4697.99,281.15,320,NA,0,4519.89,178.1,220,NA,0,4180.12,339.77,370,NA,0,16,"near_prime",17,43,60,1,0,0
"5509","Sponsor Assigned",19464283,"05-01-2017","05-31-2017","Ally Bank","02/2016",21753.44,73,"02/2022",0.039,1,1,"03/2016","True",1,2,0,"TOYT","CAMRY               ",2,2014,1,16961,3,"Consumer Bureau","787",2,NA,"False",0.0412,"CA",57,NA,1,17898.14,339.78,0.039,0.039,0.01,NA,NA,282.3,NA,17604.25,339.78,339.78,NA,"False",293.89,0,"05-05-2017",0,"Ally Bank","False",NA,NA,NA,0,17324.65,279.6,339.78,NA,0,17040.39,284.26,339.78,NA,0,16760.68,279.71,339.78,NA,0,16483.57,277.11,339.78,NA,0,16194.86,288.71,339.78,NA,0,15903.52,291.34,339.78,NA,0,15624.9,278.62,339.78,NA,0,15318.28,306.62,340,NA,0,15025.56,292.72,350,NA,0,14717.29,308.27,350,NA,0,14423.89,293.4,350,NA,0,14118.58,305.31,350,NA,0,13819.86,298.72,350,NA,0,13503.81,316.05,350,NA,0,13199.97,303.84,350,NA,0,12900.74,299.23,350,NA,0,12590.71,310.03,350,NA,0,12277.03,313.68,350,NA,0,11963.75,313.28,350,NA,0,11336.9,626.85,700,NA,0,11018.39,318.51,350,NA,0,11018.39,0,0,NA,0,0,11018.39,11085.99,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,"super_prime",17,24,41,0,0,1
"5515","Sponsor Assigned",19464840,"05-01-2017","05-31-2017","Ally Bank","02/2016",12951,73,"02/2022",0.061,1,1,"03/2016","True",1,2,0,"CHEV","IMPALA LIMIT        ",2,2014,1,14650,98,"Consumer Bureau","670",2,NA,"False",0.0759,"AR",57,NA,1,10762.34,209.56,0.061,0.061,0.01,NA,NA,161.57,NA,10588.9,215.78,222,NA,"False",173.44,0,"05-04-2017",0,"Ally Bank","False",NA,NA,NA,0,10414.99,173.91,250,NA,0,10261.98,153.01,200,NA,0,10111.71,150.27,200,NA,0,9959.37,152.34,225,NA,0,9783.32,176.05,197.68,NA,0,9597.08,186.24,250,NA,0,0,9597.08,9632.36,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,"prime",17,8,25,0,0,1
