"","assetTypeNumber","assetNumber","reportingPeriodBeginningDate","reportingPeriodEndingDate","originatorName","originationDate","originalLoanAmount","originalLoanTerm","loanMaturityDate","originalInterestRatePercentage","interestCalculationTypeCode","originalInterestRateTypeCode","originalFirstPaymentDate","underwritingIndicator","gracePeriodNumber","paymentTypeCode","subvented","vehicleManufacturerName","vehicleModelName","vehicleNewUsedCode","vehicleModelYear","vehicleTypeCode","vehicleValueAmount","vehicleValueSourceCode","obligorCreditScoreType","obligorCreditScore","obligorIncomeVerificationLevelCode","obligorEmployementVerificationCode","coObligorIndicator","paymentToIncomePercentage","obligorGeographicLocation","remainingTermtoMaturityNumber","reportingPeriodModicationIndicator","servicingAdvanceMethodCode","reportingPeriodBeginningLoanBalanceAmount","nextReportingPeriodPaymentAmountDue","reportingPeriodInterestRatePercentage","nextInterestRatePercentage","servicingFeePercentage","otherAssessedUncollectedServierFeeAmount","scheduleInterestAmount","scheduledPrincipalAmount","otherPrincipalAdjustedAmount","reportingPeriodActualEndBalanceAmount","reportingPeriodScheduledPaymentAmount","totalActualAmountPaid","actualInterestCollectAmount","repossessedIndicator","actualPrincipalCollectedAmount","actualOtherCollectedAmount","interestPaidThroughDate","currentDelinquencyStatus","primaryLoanServicerName","assetSubjectDemandIndicator","chargedoffPrincipalAmount","recoveredAmount","paymentExtendedNumber","repossessedProceedsAmount","BAL1","PRC1","PMT1","REC1","REP1","BAL2","PRC2","PMT2","REC2","REP2","BAL3","PRC3","PMT3","REC3","REP3","BAL4","PRC4","PMT4","REC4","REP4","BAL5","PRC5","PMT5","REC5","REP5","BAL6","PRC6","PMT6","REC6","REP6","BAL7","PRC7","PMT7","REC7","REP7","BAL8","PRC8","PMT8","REC8","REP8","BAL9","PRC9","PMT9","REC9","REP9","BAL10","PRC10","PMT10","REC10","REP10","BAL11","PRC11","PMT11","REC11","REP11","BAL12","PRC12","PMT12","REC12","REP12","BAL13","PRC13","PMT13","REC13","REP13","BAL14","PRC14","PMT14","REC14","REP14","BAL15","PRC15","PMT15","REC15","REP15","BAL16","PRC16","PMT16","REC16","REP16","BAL17","PRC17","PMT17","REC17","REP17","BAL18","PRC18","PMT18","REC18","REP18","BAL19","PRC19","PMT19","REC19","REP19","BAL20","PRC20","PMT20","REC20","REP20","BAL21","PRC21","PMT21","REC21","REP21","BAL22","PRC22","PMT22","REC22","REP22","BAL23","PRC23","PMT23","REC23","REP23","BAL24","PRC24","PMT24","REC24","REP24","BAL25","PRC25","PMT25","REC25","REP25","BAL26","PRC26","PMT26","REC26","REP26","BAL27","PRC27","PMT27","REC27","REP27","BAL28","PRC28","PMT28","REC28","REP28","BAL29","PRC29","PMT29","REC29","REP29","BAL30","PRC30","PMT30","REC30","REP30","BAL31","PRC31","PMT31","REC31","REP31","BAL32","PRC32","PMT32","REC32","REP32","BAL33","PRC33","PMT33","REC33","REP33","BAL34","PRC34","PMT34","REC34","REP34","BAL35","PRC35","PMT35","REC35","REP35","BAL36","PRC36","PMT36","REC36","REP36","BAL37","PRC37","PMT37","REC37","REP37","BAL38","PRC38","PMT38","REC38","REP38","BAL39","PRC39","PMT39","REC39","REP39","BAL40","PRC40","PMT40","REC40","REP40","BAL41","PRC41","PMT41","REC41","REP41","BAL42","PRC42","PMT42","REC42","REP42","BAL43","PRC43","PMT43","REC43","REP43","BAL44","PRC44","PMT44","REC44","REP44","BAL45","PRC45","PMT45","REC45","REP45","BAL46","PRC46","PMT46","REC46","REP46","initialLoanAge","risk_cat_ir","Y","X","Xc","C","D","R"
"24","Sponsor Assigned",23557456,"08-01-2019","08-31-2019","Ally Bank","02/2019",14529.55,73,"02/2025",0.0664,1,1,"03/2019","True",1,2,0,"JEEP","Wrangler Unlimited",2,2014,3,22975,98,"Consumer Bureau","693",2,NA,"False",0.0492,"RI",67,NA,1,13732.28,491.74,0.0664,0.0664,0.01,NA,NA,168.43,NA,13732.28,245.87,0,NA,"False",0,0,"07-30-2019",1,"Ally Bank","False",NA,NA,NA,0,13384.87,347.41,491.74,NA,0,13216.91,167.96,245.87,NA,0,13216.91,0,0,NA,0,13077.12,139.79,260,NA,0,12703.27,373.85,489.9,NA,0,12526.54,176.73,245.87,NA,0,12526.54,0,0,NA,0,12526.54,0,0,NA,0,12526.54,0,0,NA,0,0,12526.54,12744.71,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"prime",7,11,18,0,0,1
"50","Sponsor Assigned",22793398,"08-01-2019","08-31-2019","Ally Bank","07/2018",10981.81,73,"07/2024",0.0919,1,1,"08/2018","True",1,2,0,"VOLKSWAGEN","Beetle",2,2012,1,8650,98,"Consumer Bureau","729",2,NA,"False",0.0306,"FL",60,NA,1,9132.59,0,0.0919,0.0919,0.01,NA,NA,124.5,NA,8922.26,198.99,300,NA,"False",210.33,0,"08-26-2019",0,"Ally Bank","False",NA,NA,NA,0,8682.91,239.35,300,NA,0,8555.05,127.86,200,NA,0,8319.66,235.39,300,NA,0,8180.4,139.26,200,NA,0,7950.3,230.1,300,NA,0,7950.3,0,0,NA,0,7400.72,549.58,660,NA,0,7273.19,127.53,200,NA,0,7273.19,0,0,NA,0,7273.19,0,0,NA,0,7137.55,135.64,300,NA,0,6891.32,246.23,300,NA,0,6891.32,0,0,NA,0,6703.79,187.53,300,NA,0,6703.79,0,0,NA,0,6703.79,0,0,NA,0,6703.79,0,0,NA,0,6562.16,141.63,300,NA,0,6133.83,428.33,500,NA,0,6133.83,0,0,NA,0,5641.97,491.86,600,NA,0,5641.97,0,0,NA,0,5641.97,0,0,NA,0,5452.77,189.2,300,NA,0,5452.77,0,0,NA,0,5246.13,206.64,300,NA,0,5246.13,0,0,NA,0,5029.35,216.78,300,NA,0,5029.35,0,0,NA,0,4792.66,236.69,300,NA,0,4549.37,243.29,300,NA,0,4549.37,0,0,NA,0,4403.21,146.16,200,NA,0,4403.21,0,0,NA,0,4087.33,315.88,400,NA,0,3918.2,169.13,200,NA,0,3736.94,181.26,200,NA,0,3574.58,162.36,200,NA,0,3407.88,166.7,200,NA,0,3128.51,279.37,300,NA,0,-6.3,3134.81,3148.2,NA,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,"prime",14,43,57,0,0,1
"68","Sponsor Assigned",22769663,"08-01-2019","08-31-2019","Ally Bank","07/2018",13374.78,73,"07/2024",0.0904,1,1,"08/2018","True",1,2,0,"FORD","F-150",2,2017,2,22875,98,"None","None",2,NA,"False",0.0949,"AL",60,NA,1,11655.66,242.24,0.0904,0.0904,0.01,NA,NA,152.77,NA,11502.9,242.24,242.24,NA,"False",152.76,0,"08-26-2019",0,"Ally Bank","False",NA,NA,NA,0,11348.97,153.93,242.24,NA,0,11191.05,157.92,242.24,NA,0,11034.73,156.32,242.24,NA,0,10874.47,160.26,242.24,NA,0,0,10874.47,10936.31,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,"prime",14,6,20,0,0,1
"73","Sponsor Assigned",23554081,"08-01-2019","08-31-2019","Ally Bank","02/2019",16194,73,"02/2025",0.0859,1,1,"03/2019","True",1,2,0,"CHEVROLET","Camaro",2,2014,1,14875,98,"Consumer Bureau","734",2,NA,"False",0.1443,"IL",67,NA,1,15252.16,220.55,0.0859,0.0859,0.01,NA,NA,176.96,NA,15063.43,288.65,300,NA,"False",188.73,0,"08-20-2019",0,"Ally Bank","False",NA,NA,NA,0,14873.32,190.11,300,NA,0,14678.32,195,300,NA,0,14485.4,192.92,300,NA,0,14287.66,197.74,300,NA,0,14091.72,195.94,300,NA,0,13894.25,197.47,300,NA,0,13688.82,205.43,300,NA,0,13488.42,200.4,300,NA,0,13283.39,205.03,300,NA,0,13080.04,203.35,300,NA,0,12872.14,207.9,300,NA,0,12665.79,206.35,300,NA,0,12457.94,207.85,300,NA,0,12245.66,212.28,300,NA,0,11934.76,310.9,400,NA,0,11618.79,315.97,400,NA,0,11203.47,415.32,500,NA,0,10785.21,418.26,500,NA,0,10356.28,428.93,500,NA,0,9931.84,424.44,500,NA,0,9501.96,429.88,500,NA,0,8921.28,580.68,650,NA,0,8334.27,587.01,650,NA,0,7895.07,439.2,500,NA,0,7452.67,442.4,500,NA,0,7205.29,247.38,300,NA,0,6957.86,247.43,300,NA,0,6706.98,250.88,300,NA,0,6455.91,251.07,300,NA,0,0,6455.91,6493.89,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"prime",7,31,38,0,0,1
"131","Sponsor Assigned",22768137,"08-01-2019","08-31-2019","Ally Bank","07/2018",12919.49,73,"07/2024",0.0534,1,1,"08/2018","True",1,2,0,"MINI","Cooper",2,2015,1,15025,98,"Consumer Bureau","668",2,NA,"False",0.0297,"FL",60,NA,1,11065.32,0,0.0534,0.0534,0.01,NA,NA,160.4,NA,10540.33,210.58,574.97,NA,"False",524.99,0,"08-27-2019",0,"Ally Bank","False",NA,NA,NA,0,10904.92,0,0.2,NA,0,10567.98,336.94,421.16,NA,0,10567.98,0,0,NA,0,10252.95,315.03,421.16,NA,0,10088.76,164.19,210.58,NA,0,9926.75,162.01,210.58,NA,0,9746.58,180.17,210.58,NA,0,9588.62,157.96,210.58,NA,0,9403.22,185.4,210.58,NA,0,9251.63,151.59,210.58,NA,0,9081.54,170.09,210.58,NA,0,8912.04,169.5,210.58,NA,0,8745.67,166.37,210.58,NA,0,8572.09,173.58,210.58,NA,0,8397.78,174.31,210.58,NA,0,8223.96,173.82,210.58,NA,0,8053.07,170.89,210.58,NA,0,7866.05,187.02,210.58,NA,0,7687.69,178.36,210.58,NA,0,7510.85,176.84,210.58,NA,0,7344.22,166.63,210.58,NA,0,7152.98,191.24,210.58,NA,0,6982.17,170.81,210.58,NA,0,6794.06,188.11,210.58,NA,0,6628.21,165.85,210.58,NA,0,6446.72,181.49,210.58,NA,0,6249.34,197.38,210.58,NA,0,6081.73,167.61,210.58,NA,0,5898.73,183,210.58,NA,0,5708,190.73,210.58,NA,0,5527.48,180.52,210.58,NA,0,5341.97,185.51,210.58,NA,0,5152.49,189.48,210.58,NA,0,4953.97,198.52,210.58,NA,0,4778.18,175.79,210.58,NA,0,4589.27,188.91,210.58,NA,0,4399.5,189.77,210.58,NA,0,4399.5,0,0,NA,0,4016.89,382.61,421.16,NA,0,3823.94,192.95,210.58,NA,0,3630.7,193.24,210.58,NA,0,3431.27,199.43,210.58,NA,0,3239.77,191.5,210.58,NA,0,3043.88,195.89,210.58,NA,0,2846.66,197.22,210.58,NA,0,2648.99,197.67,210.58,NA,0,13,"prime",14,46,60,1,0,0
"135","Sponsor Assigned",23553680,"08-01-2019","08-31-2019","Ally Bank","02/2019",18924.5,73,"02/2025",0.0829,1,1,"03/2019","True",1,2,0,"JEEP","Grand Cherokee",2,2014,3,21850,98,"Consumer Bureau","690",2,NA,"False",0.0575,"DE",67,NA,1,17826.52,162.52,0.0829,0.0829,0.01,NA,NA,209.26,NA,17572.03,335.63,380,NA,"False",254.49,0,"08-26-2019",0,"Ally Bank","False",NA,NA,NA,0,17341.75,230.28,350,NA,0,17315.69,26.06,148.15,NA,0,17098.04,217.65,335.63,NA,0,16878.9,219.14,335.63,NA,0,16665.69,213.21,335.63,NA,0,16378.93,286.76,400,NA,0,16086.52,292.41,400,NA,0,15863.84,222.68,335.63,NA,0,15639.6,224.24,335.63,NA,0,15410.24,229.36,335.63,NA,0,15182.81,227.43,335.63,NA,0,14957.23,225.58,335.63,NA,0,14726.62,230.61,335.63,NA,0,0,14726.62,14726.62,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"prime",7,15,22,0,0,1
"140","Sponsor Assigned",22769506,"08-01-2019","08-31-2019","Ally Bank","07/2018",22048.59,73,"07/2024",0.0889,1,1,"08/2018","True",1,2,0,"NISSAN","Rogue",2,2018,3,19300,98,"Consumer Bureau","728",2,NA,"False",0.153,"TX",60,NA,1,19187.08,397.68,0.0889,0.0889,0.01,NA,NA,252.74,NA,18934.26,397.68,397.68,NA,"False",252.82,0,"08-26-2019",0,"Ally Bank","False",NA,NA,NA,0,18670.31,263.95,397.68,NA,0,18413.59,256.72,397.68,NA,0,18163.9,249.69,397.68,NA,0,0,18163.9,18292.19,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,"prime",14,5,19,0,0,1
"156","Sponsor Assigned",23518434,"08-01-2019","08-31-2019","Ally Bank","02/2019",12293.96,73,"02/2025",0.1079,1,1,"03/2019","True",1,2,0,"FORD","Escape",2,2014,3,9875,98,"Consumer Bureau","688",2,NA,"False",0.0632,"TX",67,NA,1,11715.53,233.72,0.1079,0.1079,0.01,NA,NA,126.38,NA,11589.17,233.72,233.72,NA,"False",126.36,0,"08-21-2019",0,"Ally Bank","False",NA,NA,NA,0,11461.65,127.52,233.72,NA,0,11329.57,132.08,233.72,NA,0,11199.67,129.9,233.72,NA,0,11065.27,134.4,233.72,NA,0,10932.77,132.5,233.72,NA,0,10798.97,133.8,233.72,NA,0,10657.58,141.39,233.72,NA,0,10521.26,136.32,233.72,NA,0,10380.59,140.67,233.72,NA,0,10241.74,138.85,233.72,NA,0,10098.6,143.14,233.72,NA,0,9957.17,141.43,233.72,NA,0,9814.45,142.72,233.72,NA,0,9667.53,146.92,233.72,NA,0,9522.16,145.37,233.72,NA,0,9381.08,141.08,233.72,NA,0,9233.27,147.81,233.72,NA,0,9084.16,149.11,233.72,NA,0,8925.63,158.53,233.72,NA,0,8773.71,151.92,233.72,NA,0,8617.8,155.91,233.72,NA,0,8463.05,154.75,233.72,NA,0,8304.38,158.67,233.72,NA,0,8146.76,157.62,233.72,NA,0,7987.7,159.06,233.72,NA,0,7824.82,162.88,233.72,NA,0,7662.81,162.01,233.72,NA,0,7497.05,165.76,233.72,NA,0,7332.03,165.02,233.72,NA,0,7165.5,166.53,233.72,NA,0,6991.09,174.41,233.72,NA,0,6821.44,169.65,233.72,NA,0,6648.22,173.22,233.72,NA,0,6475.43,172.79,233.72,NA,0,6295.31,180.12,233.72,NA,0,6119.28,176.03,233.72,NA,0,5941.64,177.64,233.72,NA,0,5760.61,181.03,233.72,NA,0,5579.68,180.93,233.72,NA,0,5395.44,184.24,233.72,NA,0,5211.16,184.28,233.72,NA,0,5060.44,150.72,200,NA,0,4868.61,191.83,233.72,NA,0,4679.51,189.1,233.72,NA,0,4734.37,0,54.86,NA,0,4544.04,190.33,233.72,NA,0,6,"near_prime",7,46,53,1,0,0
"197","Sponsor Assigned",22799680,"08-01-2019","08-31-2019","Ally Bank","07/2018",13194.3,73,"07/2024",0.0714,1,1,"08/2018","True",1,2,0,"NISSAN","Sentra",2,2015,1,10250,98,"Consumer Bureau","742",2,NA,"False",0.0278,"NC",60,NA,1,11260.28,178.51,0.0714,0.0714,0.01,NA,NA,157.18,NA,11124.15,226.17,200,NA,"False",136.13,0,"08-12-2019",0,"Ally Bank","False",NA,NA,NA,0,10876.37,247.78,300,NA,0,10865.3,11.07,104.68,NA,0,10698.64,166.66,226.17,NA,0,10543.62,155.02,226.17,NA,0,10379.23,164.39,226.17,NA,0,10164.27,214.96,300,NA,0,10164.27,0,0,NA,0,10164.27,0,0,NA,0,10164.27,0,0,NA,0,10164.27,0,0,NA,0,10164.27,0,152.34,NA,0,10102.98,61.29,250,NA,0,9951.7,151.28,226.17,NA,0,9787.65,164.05,226.17,NA,0,9607.31,180.34,226.17,NA,0,9433.62,173.69,226.17,NA,0,9259.05,174.57,226.17,NA,0,9083.59,175.46,226.17,NA,0,8901.84,181.75,226.17,NA,0,8729.65,172.19,226.17,NA,0,8558.13,171.52,226.17,NA,0,8380.51,177.62,226.17,NA,0,8233.03,147.48,226.17,NA,0,8035.85,197.18,226.17,NA,0,7852.12,183.73,226.17,NA,0,7690.46,161.66,226.17,NA,0,7506.41,184.05,226.17,NA,0,7321.35,185.06,226.17,NA,0,7135.28,186.07,226.17,NA,0,6948.19,187.09,226.17,NA,0,6770.95,177.24,226.17,NA,0,6571.27,199.68,226.17,NA,0,6390.09,181.18,226.17,NA,0,6205.17,184.92,226.17,NA,0,6021.48,183.69,226.17,NA,0,5828.29,193.19,226.17,NA,0,5644.3,183.99,226.17,NA,0,5449.05,195.25,226.17,NA,0,5252.73,196.32,226.17,NA,0,2069.38,3183.35,3226.17,NA,0,71.81,1997.57,2000,NA,0,71.81,0,0,NA,0,0,71.81,72.68,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,"prime",14,44,58,0,0,1
"200","Sponsor Assigned",22767487,"08-01-2019","08-31-2019","Ally Bank","07/2018",12997.5,73,"07/2024",0.0649,1,1,"08/2018","True",1,2,0,"TOYOTA","Corolla",2,2016,1,12300,98,"Consumer Bureau","711",2,NA,"False",0.1206,"MO",60,NA,1,10795.2,0,0.0649,0.0649,0.01,NA,NA,157.31,NA,10608.53,219,250,NA,"False",186.67,0,"08-22-2019",0,"Ally Bank","False",NA,NA,NA,0,10413.22,195.31,250,NA,0,10216.91,196.31,250,NA,0,10023.22,193.69,250,NA,0,9824.9,198.32,250,NA,0,9630.72,194.18,250,NA,0,9438.78,191.94,250,NA,0,9233.97,204.81,250,NA,0,9233.97,0,0,NA,0,9077.3,156.67,250,NA,0,8891.68,185.62,250,NA,0,8685.83,205.85,250,NA,0,8488.2,197.63,250,NA,0,8275.83,212.37,250,NA,0,8074.26,201.57,250,NA,0,0,8074.26,8094.3,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,"prime",14,16,30,0,0,1
